corruption,severity,loss,ood_accuracy,experiment,optimizer_x,rho_x,optimizer_y,rho_y,feature_stability_cosine,feature_stability_std
contrast,1,0.3692179795265198,0.916,adamw_seed42,adamw,,adamw,,0.9930779337882996,0.0057989787310361
contrast,2,0.6026305849075317,0.8701,adamw_seed42,adamw,,adamw,,0.959006130695343,0.0305433236062526
contrast,3,0.8961387115478515,0.816,adamw_seed42,adamw,,adamw,,0.9250889420509338,0.0516275353729724
contrast,4,1.659853279876709,0.6917,adamw_seed42,adamw,,adamw,,0.8610875010490417,0.0840192958712577
contrast,5,5.736547180175782,0.2994,adamw_seed42,adamw,,adamw,,0.6482553482055664,0.1364604234695434
jpeg_compression,1,0.7009810245513916,0.8521,adamw_seed42,adamw,,adamw,,0.9522316455841064,0.0379433035850524
jpeg_compression,2,0.9938902637481688,0.7938,adamw_seed42,adamw,,adamw,,0.9261636734008788,0.0543867498636245
jpeg_compression,3,1.086474764442444,0.7754,adamw_seed42,adamw,,adamw,,0.916716992855072,0.0600446127355098
jpeg_compression,4,1.2371038314819336,0.7564,adamw_seed42,adamw,,adamw,,0.9066879749298096,0.066007025539875
jpeg_compression,5,1.430659912109375,0.7177,adamw_seed42,adamw,,adamw,,0.8926951289176941,0.0728710070252418
gaussian_noise,1,0.7244161205768586,0.8015,sam_rho001_seed42,sam,0.01,sam,0.01,0.9059845805168152,0.0914217606186866
gaussian_noise,2,1.5695064485549928,0.6298,sam_rho001_seed42,sam,0.01,sam,0.01,0.8060631155967712,0.1463352441787719
gaussian_noise,3,2.841957668304443,0.4345,sam_rho001_seed42,sam,0.01,sam,0.01,0.6978747844696045,0.1842842251062393
gaussian_noise,4,3.525015351486206,0.3502,sam_rho001_seed42,sam,0.01,sam,0.01,0.6486312747001648,0.1941350400447845
gaussian_noise,5,4.206888078308105,0.2832,sam_rho001_seed42,sam,0.01,sam,0.01,0.6051647663116455,0.2016980350017547
shot_noise,1,0.4681807654857635,0.8608,sam_rho001_seed42,sam,0.01,sam,0.01,0.9452892541885376,0.0625470578670501
shot_noise,2,0.791879433631897,0.7855,sam_rho001_seed42,sam,0.01,sam,0.01,0.8954269289970398,0.102742999792099
shot_noise,3,1.8776548377990725,0.5815,sam_rho001_seed42,sam,0.01,sam,0.01,0.7734529376029968,0.1667287796735763
shot_noise,4,2.4315514169692998,0.4903,sam_rho001_seed42,sam,0.01,sam,0.01,0.7230702638626099,0.1829264312982559
shot_noise,5,3.5330188903808595,0.3456,sam_rho001_seed42,sam,0.01,sam,0.01,0.6407010555267334,0.2008937150239944
motion_blur,1,0.3785344393730163,0.8833,sam_rho001_seed42,sam,0.01,sam,0.01,0.9623148441314696,0.0420506075024604
motion_blur,2,0.6994259155273438,0.8055,sam_rho001_seed42,sam,0.01,sam,0.01,0.9099859595298768,0.0863543972373008
motion_blur,3,1.126539565563202,0.7043,sam_rho001_seed42,sam,0.01,sam,0.01,0.8539856672286987,0.122513547539711
motion_blur,4,1.1352583598136905,0.7041,sam_rho001_seed42,sam,0.01,sam,0.01,0.8534780144691467,0.1229104399681091
motion_blur,5,1.5476013263702393,0.6157,sam_rho001_seed42,sam,0.01,sam,0.01,0.804495632648468,0.1459965258836746
brightness,1,0.2197715525627136,0.9286,sam_rho001_seed42,sam,0.01,sam,0.01,0.9989275336265564,0.0016566609265282
brightness,2,0.2325550006866455,0.9261,sam_rho001_seed42,sam,0.01,sam,0.01,0.9956348538398744,0.0065419166348874
brightness,3,0.2552759878158569,0.919,sam_rho001_seed42,sam,0.01,sam,0.01,0.9903368949890136,0.0137282842770218
brightness,4,0.2869438217163086,0.9101,sam_rho001_seed42,sam,0.01,sam,0.01,0.983134150505066,0.022234883159399
brightness,5,0.3787770936965942,0.8861,sam_rho001_seed42,sam,0.01,sam,0.01,0.9628093838691713,0.0423144027590751
contrast,1,0.2412920913219451,0.9209,sam_rho001_seed42,sam,0.01,sam,0.01,0.9937196373939514,0.0069636851549148
contrast,2,0.3968493905067444,0.8777,sam_rho001_seed42,sam,0.01,sam,0.01,0.9614599347114564,0.0390158854424953
contrast,3,0.5888865749359131,0.8264,sam_rho001_seed42,sam,0.01,sam,0.01,0.9273563623428344,0.0664550140500068
contrast,4,1.0570784246444702,0.7167,sam_rho001_seed42,sam,0.01,sam,0.01,0.8585044741630554,0.1098979488015174
contrast,5,3.6722625518798826,0.2971,sam_rho001_seed42,sam,0.01,sam,0.01,0.6080242395401001,0.1862152814865112
jpeg_compression,1,0.4483380237579346,0.8621,sam_rho001_seed42,sam,0.01,sam,0.01,0.9525490403175354,0.04691157117486
jpeg_compression,2,0.6131847858428955,0.8198,sam_rho001_seed42,sam,0.01,sam,0.01,0.9247043132781982,0.0687651708722114
jpeg_compression,3,0.6721016424179077,0.8025,sam_rho001_seed42,sam,0.01,sam,0.01,0.9140850305557252,0.0760876536369323
jpeg_compression,4,0.7523926292419434,0.7807,sam_rho001_seed42,sam,0.01,sam,0.01,0.9028945565223694,0.0835807174444198
jpeg_compression,5,0.8733462670326233,0.7519,sam_rho001_seed42,sam,0.01,sam,0.01,0.8862158060073853,0.0938679650425911
gaussian_noise,1,0.7029332661628723,0.7865,sam_rho005_seed42,sam,0.05,sam,0.05,0.8909878730773926,0.0950257703661918
gaussian_noise,2,1.581313081741333,0.5766,sam_rho005_seed42,sam,0.05,sam,0.05,0.7806142568588257,0.1463214010000229
gaussian_noise,3,2.6754959358215333,0.3766,sam_rho005_seed42,sam,0.05,sam,0.05,0.6719214916229248,0.1756741553544998
gaussian_noise,4,3.21005354385376,0.3019,sam_rho005_seed42,sam,0.05,sam,0.05,0.6247934103012085,0.1835239827632904
gaussian_noise,5,3.662301825714111,0.2543,sam_rho005_seed42,sam,0.05,sam,0.05,0.5862666964530945,0.1882977783679962
shot_noise,1,0.4565740400791168,0.8553,sam_rho005_seed42,sam,0.05,sam,0.05,0.9334611296653748,0.0696793496608734
shot_noise,2,0.8086318325996399,0.7563,sam_rho005_seed42,sam,0.05,sam,0.05,0.876143753528595,0.1086969599127769
shot_noise,3,1.862017164039612,0.5325,sam_rho005_seed42,sam,0.05,sam,0.05,0.7474443912506104,0.1652586013078689
shot_noise,4,2.344882431602478,0.4432,sam_rho005_seed42,sam,0.05,sam,0.05,0.6978334784507751,0.1781154125928878
shot_noise,5,3.114117694854736,0.3195,sam_rho005_seed42,sam,0.05,sam,0.05,0.6232457756996155,0.1904202401638031
motion_blur,1,0.3389245272636413,0.8884,sam_rho005_seed42,sam,0.05,sam,0.05,0.9619604349136353,0.0402938202023506
motion_blur,2,0.6038000364303588,0.8096,sam_rho005_seed42,sam,0.05,sam,0.05,0.9143930673599244,0.0798012986779213
motion_blur,3,0.9471407863616944,0.7207,sam_rho005_seed42,sam,0.05,sam,0.05,0.8632420897483826,0.1106123253703117
motion_blur,4,0.9356892163276672,0.7187,sam_rho005_seed42,sam,0.05,sam,0.05,0.8638493418693542,0.1097540408372879
motion_blur,5,1.2747545003890992,0.6277,sam_rho005_seed42,sam,0.05,sam,0.05,0.8166283369064331,0.1311028003692627
brightness,1,0.194719589471817,0.934,sam_rho005_seed42,sam,0.05,sam,0.05,0.9988393783569336,0.0021934027317911
brightness,2,0.2048508855819702,0.9318,sam_rho005_seed42,sam,0.05,sam,0.05,0.9953901171684264,0.0071320328861474
brightness,3,0.2228788269996643,0.9253,sam_rho005_seed42,sam,0.05,sam,0.05,0.989933967590332,0.0133177693933248
brightness,4,0.2471402319908142,0.9191,sam_rho005_seed42,sam,0.05,sam,0.05,0.9825845956802368,0.0209953244775533
brightness,5,0.3253564363479614,0.8925,sam_rho005_seed42,sam,0.05,sam,0.05,0.9618874788284302,0.0410660803318023
contrast,1,0.2095351387500763,0.9294,sam_rho005_seed42,sam,0.05,sam,0.05,0.9939135909080504,0.0060907108709216
contrast,2,0.3349806568145752,0.8868,sam_rho005_seed42,sam,0.05,sam,0.05,0.9612054824829102,0.034978412091732
contrast,3,0.4999894432067871,0.8341,sam_rho005_seed42,sam,0.05,sam,0.05,0.9260541796684264,0.0606053546071052
contrast,4,0.9155424255371094,0.7084,sam_rho005_seed42,sam,0.05,sam,0.05,0.855507493019104,0.100566491484642
contrast,5,2.9118441444396974,0.2891,sam_rho005_seed42,sam,0.05,sam,0.05,0.6165443062782288,0.169875681400299
jpeg_compression,1,0.4090817505836487,0.8679,sam_rho005_seed42,sam,0.05,sam,0.05,0.9508205056190492,0.0455182678997516
jpeg_compression,2,0.5592306670188903,0.8187,sam_rho005_seed42,sam,0.05,sam,0.05,0.9227254986763,0.0652152299880981
jpeg_compression,3,0.6154875889778137,0.8063,sam_rho005_seed42,sam,0.05,sam,0.05,0.9126559495925904,0.0724476277828216
jpeg_compression,4,0.6931495010375976,0.7804,sam_rho005_seed42,sam,0.05,sam,0.05,0.9010699391365052,0.0796517878770828
jpeg_compression,5,0.8055927434921265,0.7447,sam_rho005_seed42,sam,0.05,sam,0.05,0.885694146156311,0.0889720320701599
gaussian_noise,1,0.6748408724784851,0.7824,sam_rho010_seed42,sam,0.1,sam,0.1,0.8895865082740784,0.0959085449576377
gaussian_noise,2,1.4263160791397094,0.5807,sam_rho010_seed42,sam,0.1,sam,0.1,0.7848437428474426,0.1466412544250488
gaussian_noise,3,2.4013667144775392,0.3846,sam_rho010_seed42,sam,0.1,sam,0.1,0.6804441213607788,0.1773413717746734
gaussian_noise,4,2.841685077667236,0.3144,sam_rho010_seed42,sam,0.1,sam,0.1,0.6371843814849854,0.184916004538536
gaussian_noise,5,3.264887945175171,0.2552,sam_rho010_seed42,sam,0.1,sam,0.1,0.5979341864585876,0.1898612082004547
shot_noise,1,0.4484048061132431,0.8519,sam_rho010_seed42,sam,0.1,sam,0.1,0.9322774410247804,0.070923127233982
shot_noise,2,0.7584159642219543,0.7595,sam_rho010_seed42,sam,0.1,sam,0.1,0.8776293992996216,0.1080889478325843
shot_noise,3,1.6937846099853515,0.5311,sam_rho010_seed42,sam,0.1,sam,0.1,0.7556030750274658,0.163357213139534
shot_noise,4,2.1172589363098147,0.4418,sam_rho010_seed42,sam,0.1,sam,0.1,0.7083920836448669,0.1776543855667114
shot_noise,5,2.842595463562012,0.3186,sam_rho010_seed42,sam,0.1,sam,0.1,0.6344113349914551,0.1912720650434494
motion_blur,1,0.3587659672260284,0.8776,sam_rho010_seed42,sam,0.1,sam,0.1,0.9580938220024108,0.0414765030145645
